codigo;familia;documentos;estado;implementacion;tests
RN-01-05;RN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md;IMPLEMENTADO;parametrosCalculo.ts validarUmbrales;parametrosCalculo.test.ts · configuracion.test.ts
RN-01-06;RN;01_PARAMETRIZACION_DE_LA_ENTIDAD.md;IMPLEMENTADO;casos-uso/ejercicios.ts cambiarFechaCorte;configuracion.test.ts
RN-02-01;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;IMPLEMENTADO;ux_bien_codigo/ux_bien_placa + comprobación previa en importarPl03;importarInventario.test.ts
RN-02-02;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
RN-02-03;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
RN-02-04;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
RN-02-05;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;IMPLEMENTADO;importarPl03: serie repetida es ADVERTENCIA, nunca bloquea;importarInventario.test.ts
RN-02-06;RN;02_INVENTARIO_FISICO_Y_PLAQUETEO.md;PENDIENTE;;
RN-03-01;RN;03_HOJA_DE_VIDA_DE_BIENES.md,ANEXO_B_DICCIONARIO_DE_DATOS.md;IMPLEMENTADO;importarPl03 marca INCOMPLETO; hojaVida.repo.marcarValidados con fecha y costo
RN-03-02;RN;03_HOJA_DE_VIDA_DE_BIENES.md,ANEXO_A_CATALOGO_DE_PLANTILLAS.md;IMPLEMENTADO;importarPl05: costo 0 → nulo, salvo DONACION (que exige acta);importarInventario.test.ts
RN-03-03;RN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
RN-03-04;RN;03_HOJA_DE_VIDA_DE_BIENES.md;IMPLEMENTADO;importarPl05 hoja SIN_SOPORTE → soporte_documental AVALUO_RECONOCIMIENTO_INICIAL con SHA-256 del libro;importarInventario.test.ts
RN-03-05;RN;03_HOJA_DE_VIDA_DE_BIENES.md;PENDIENTE;;
RN-03-06;RN;03_HOJA_DE_VIDA_DE_BIENES.md;IMPLEMENTADO;importarPl05 rechaza el override sin justificación;importarInventario.test.ts
RN-04-01;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-04-02;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-04-03;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-04-04;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-04-05;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-04-06;RN;04_CONCILIACION_FISICO_CONTABLE.md;PENDIENTE;;
RN-05-01;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;motor/obsolescencia.calcularObsolescencia (ANEXO_C §2.1);compartido/motor/calculo.test.ts
RN-05-02;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;el índice no se trunca en 1; caso 3 de ANEXO_C §11 probado
RN-05-03;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;obsolescencia_funcional es juicio humano: el motor no la toca al recalcular;modules/calculo/calculo.test.ts
RN-05-04;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;motor/candidatoBaja.esCandidatoBaja, con los motivos acumulados;compartido/motor/calculo.test.ts
RN-05-05;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;vida útil nula o cero → NO_CALCULABLE, nunca división por cero;compartido/motor/calculo.test.ts
RN-05-06;RN;05_INDICE_DE_OBSOLESCENCIA.md;PENDIENTE;;
RN-05-07;RN;05_INDICE_DE_OBSOLESCENCIA.md;IMPLEMENTADO;adquisición posterior al corte → ERROR_DATOS, no una edad negativa;compartido/motor/calculo.test.ts
RN-06-01;RN;06_DEPRECIACION_Y_DETERIORO.md,README.md;IMPLEMENTADO;motor/depreciacion (ANEXO_C §3.1), centavos y decimal.js;compartido/motor/calculo.test.ts
RN-06-02;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;motor/depreciacion.fechaInicioDepreciacion (ANEXO_C §3.2);compartido/motor/calculo.test.ts
RN-06-03;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;tope: depreciación acumulada ≤ base depreciable;compartido/motor/calculo.test.ts
RN-06-04;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;los 3 métodos en motor/fechas.contarMeses; calcularEjercicio exige el acta (VAL-01-07)
RN-06-05;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;sin costo o sin fecha → NO_CALCULABLE y excluido de los totales;compartido/motor/calculo.test.ts · modules/calculo/calculo.test.ts
RN-06-06;RN;06_DEPRECIACION_Y_DETERIORO.md;PENDIENTE;;
RN-06-07;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;clase no depreciable → NO_APLICA (no un cero); sigue en la consolidación
RN-06-08;RN;06_DEPRECIACION_Y_DETERIORO.md;IMPLEMENTADO;RED-01…RED-06 en motor/dinero; redondeo solo al persistir
RN-07-01;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-02;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-03;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-04;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-05;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-06;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-07;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-08;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-07-09;RN;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RN-08-01;RN;08_VALUACION_DE_INMUEBLES.md,ANEXO_D_MARCO_NORMATIVO.md;PENDIENTE;;
RN-08-02;RN;08_VALUACION_DE_INMUEBLES.md,ANEXO_D_MARCO_NORMATIVO.md;PENDIENTE;;
RN-08-03;RN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RN-08-04;RN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RN-08-05;RN;08_VALUACION_DE_INMUEBLES.md,ANEXO_D_MARCO_NORMATIVO.md;PENDIENTE;;
RN-08-06;RN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RN-08-07;RN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RN-08-08;RN;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RN-09-01;RN;09_BAJA_DE_BIENES.md;IMPLEMENTADO;catálogo CAUSAL_BAJA + causal sugerida según estado e índice;bajas.test.ts
RN-09-02;RN;09_BAJA_DE_BIENES.md;PENDIENTE;;
RN-09-03;RN;09_BAJA_DE_BIENES.md;IMPLEMENTADO;motor/baja.evaluarReparacion con umbral parametrizable;compartido/motor/baja.test.ts
RN-09-04;RN;09_BAJA_DE_BIENES.md,ANEXO_B_DICCIONARIO_DE_DATOS.md;IMPLEMENTADO;la app registra estados; el rechazo devuelve el bien a ACTIVO con la observación
RN-09-05;RN;09_BAJA_DE_BIENES.md;IMPLEMENTADO;motor/baja.calcularEfectoContableBaja sobre las cifras del paso 06;compartido/motor/baja.test.ts · bajas.test.ts
RN-09-06;RN;09_BAJA_DE_BIENES.md;IMPLEMENTADO;se rechaza la justificación genérica y la de menos de 20 caracteres;bajas.test.ts
RN-09-07;RN;09_BAJA_DE_BIENES.md;PENDIENTE;;
RN-09-08;RN;09_BAJA_DE_BIENES.md;PENDIENTE;;
RN-09-09;RN;09_BAJA_DE_BIENES.md,ANEXO_B_DICCIONARIO_DE_DATOS.md;IMPLEMENTADO;el bien nunca se elimina: cambia de estado y conserva su historial;bajas.test.ts · calculo.test.ts
RN-10-01;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-02;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-03;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-04;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-05;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-06;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-07;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-10-08;RN;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
RN-11-01;RN;11_ENTREGA_FINAL_Y_CIERRE.md;PENDIENTE;;
RN-11-02;RN;11_ENTREGA_FINAL_Y_CIERRE.md;PENDIENTE;;
